year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2019,84.03,38.52,37.77,66.51,124.2,30.31,70.11,57.38,55.83,90.22,211.2,96.78,IT,Italia
2020,27.07,43.04,72.83,56.16,63.71,104.19,34.25,83.65,86.9,105.23,43.63,117.43,IT,Italia
2016,44.7,59.26,38.76,53.46,41.74,54.78,119.71,92.16,22.67,95.77,72.22,51.28,LT,Lituania
2017,33.55,33.53,55.95,56.43,19.61,81.29,94.43,81.95,114.24,115.78,65.11,69.51,LT,Lituania
2018,50.66,23.36,19.48,49.77,34.22,39.29,98.38,60.25,51.22,54.52,21.06,65.08,LT,Lituania
2019,53.01,28.55,46.85,2.41,63.3,33.01,87.24,72.12,61.49,51.5,48.35,52.31,LT,Lituania
2020,47.52,50.94,38.1,8.88,57.33,102.95,69.49,76.85,28.73,65.62,39.75,36.19,LT,Lituania
2016,176.8,109.35,69.39,128.65,115.71,8.15,10.67,3.35,21.14,88.57,118.42,75.93,PT,Portugal
2017,46.55,140.61,72.28,33.4,55.87,17.3,13.63,15.22,4.25,23.27,59.72,77.81,PT,Portugal
2018,87.04,87.07,241.37,115.44,43.5,46.12,9.01,1.58,16.37,97.16,157.32,42.43,PT,Portugal
2019,56.73,20.72,38.31,83.26,13.73,16.3,6.79,12.43,24.59,76.91,126.75,162.97,PT,Portugal
2020,74.85,14.9,103.28,134.08,60.48,14.08,7.07,15.91,35.58,114.07,107.01,96.77,PT,Portugal
2016,55.1,40.69,49.93,58.98,86.09,121.06,59.84,65.4,52.2,82.15,54.9,11.95,RO,Rumania
2017,23.78,33.15,36.89,67.93,71.57,80.84,89.9,41.65,53.73,58.77,46.06,49.39,RO,Rumania
2018,40.31,57.37,68.28,17.38,47.0,153.39,90.34,17.19,32.14,21.08,43.42,60.55,RO,Rumania
2019,54.75,18.21,18.64,59.14,116.15,72.37,51.19,45.27,30.24,30.92,33.41,29.42,RO,Rumania
